Appl_Type,Appl_No,Product_No,Exclusivity_Code,Exclusivity_Date
N,209241,3,I-925,18-Aug-26
N,212306,4,ODE*,3-Jul-26
N,212306,4,ODE*,18-Dec-27
N,212306,4,ODE*,22-Jun-27
N,212306,3,ODE*,18-Dec-27
N,212306,3,ODE*,3-Jul-26
N,212306,3,ODE*,22-Jun-27
N,212306,2,ODE*,22-Jun-27
N,212306,2,ODE*,18-Dec-27
N,212306,2,ODE*,3-Jul-26
N,212306,1,ODE-257,3-Jul-26
N,212306,1,ODE-310,22-Jun-27
N,212306,1,ODE-346,18-Dec-27
N,212480,2,ODE-258,28-Aug-26
N,212480,1,ODE-258,28-Aug-26
N,215430,1,NP,18-Aug-25
N,216675,1,NCE,18-May-28
N,211723,1,NCE,23-Jan-25
N,211723,1,ODE-314,18-Jun-27
N,211723,1,ODE-299,23-Jan-27
N,213687,1,ODE-311,30-Jun-27
N,213687,1,NCE,30-Jun-25
N,212950,1,NCE,2-Jul-25
N,218709,1,ODE-480,26-Apr-31
N,218709,1,NCE,26-Apr-29
N,218347,1,ODE-481,26-Apr-31
N,218347,1,NP,26-Apr-27
N,210656,1,ODE-224,21-Nov-25
N,210656,2,ODE-224,21-Nov-25
N,211580,1,I-911,5-Jun-26
N,210910,1,NCE,16-Nov-23
N,215152,1,NCE,3-May-27
N,215153,1,NCE,3-May-27
N,215272,1,I-956,12-Dec-27
N,215272,1,NCE,23-May-27
N,217581,1,I-897,14-Jul-25
N,217581,2,I-897,14-Jul-25
N,217581,3,I-897,14-Jul-25
N,213976,1,ODE-466,9-Feb-31
N,213976,1,NP,9-Feb-27
N,217700,1,ODE-478,23-Apr-31
N,217700,1,NCE,23-Apr-29
N,218033,1,ODE-478,23-Apr-31
N,218033,1,NCE,23-Apr-29
N,218623,5,ODE-501,26-Apr-31
N,218623,5,NP,26-Apr-27
N,218623,3,ODE-501,26-Apr-31
N,218623,3,NP,26-Apr-27
N,218623,2,ODE-501,26-Apr-31
N,218623,2,NP,26-Apr-27
N,218623,4,ODE-501,26-Apr-31
N,218623,4,NP,26-Apr-27
N,218623,1,ODE-501,26-Apr-31
N,218623,1,NP,26-Apr-27
N,210861,2,ODE-215,26-Nov-25
N,210861,2,ODE-220,26-Nov-25
N,210861,2,ODE-221,26-Nov-25
N,210861,1,ODE-221,26-Nov-25
N,210861,1,ODE-215,26-Nov-25
N,210861,1,ODE-220,26-Nov-25
N,211710,1,ODE-215,26-Nov-25
N,211710,1,ODE-220,26-Nov-25
N,211710,1,ODE-221,26-Nov-25
N,211996,1,ODE-237,3-May-26
N,212161,1,ODE-237,3-May-26
N,212102,1,ODE-312,25-Jun-27
N,212102,1,I-887,25-Mar-25
N,212102,1,ODE-393,25-Mar-29
N,208232,1,ODE-474,26-Jun-27
N,211746,1,NP,13-Jan-25
N,213478,1,ODE-391,22-Mar-29
N,213478,1,NP,22-Mar-25
N,215841,1,NP,23-Mar-25
N,214958,1,NCE,9-Sep-27
N,211672,1,NCE,19-Aug-24
N,211673,1,NCE,19-Aug-24
N,215446,1,ODE-144,12-May-29
N,215446,1,NP,12-May-25
N,216986,1,NCE,21-Sep-27
N,216986,2,NCE,21-Sep-27
N,216986,3,NCE,21-Sep-27
N,216986,4,NCE,21-Sep-27
N,216986,5,NCE,21-Sep-27
N,216986,6,NCE,21-Sep-27
N,216986,7,NCE,21-Sep-27
N,212099,1,I-900,5-Aug-25
N,212295,1,NCE,6-Oct-25
N,213176,1,NCE,5-Feb-26
N,215014,1,NCE,14-May-26
N,215014,1,ODE-351,14-May-28
N,215014,1,M-288,8-Feb-26
N,215515,1,NCE,13-Jun-27
N,215515,1,ODE-212,13-Jun-29
N,215985,1,NPP,5-Oct-26
N,215985,1,NP,29-Jul-25
N,215985,2,NS,9-Jul-27
N,213586,1,NP,28-Apr-26
N,213586,2,NP,28-Apr-26
N,213586,3,NP,28-Apr-26
N,213586,4,NP,28-Apr-26
N,213586,5,NP,28-Apr-26
N,213586,7,NP,28-Apr-26
N,213586,6,NP,28-Apr-26
N,215500,1,NP,13-Dec-26
N,215500,1,ODE-462,13-Dec-30
N,217242,1,NP,15-Dec-26
N,218275,1,NCE,3-Apr-29
N,212273,1,ODE-275,21-Oct-26
N,212273,1,ODE-323,21-Dec-27
N,212273,1,ODE-357,8-Jun-28
N,212273,2,ODE-357,8-Jun-28
N,214907,1,NCE,29-Nov-26
N,214907,1,I-905,16-Dec-25
N,214907,1,ODE-390,29-Nov-28
N,212194,1,ODE-273,20-Nov-26
N,213137,1,ODE-281,25-Nov-26
N,213137,1,ODE-394,17-Dec-28
N,213137,2,ODE-394,17-Dec-28
N,212839,3,NCE,10-Mar-25
N,212839,1,NCE,10-Mar-25
N,212839,4,NCE,10-Mar-25
N,212839,2,NCE,10-Mar-25
N,212839,5,NCE,10-Mar-25
N,212839,6,NCE,10-Mar-25
N,211970,1,ODE-280,12-Dec-26
N,22348,1,NPP,11-May-26
N,22348,2,NPP,11-May-26
N,22348,3,NPP,11-May-26
N,214028,1,D-187,28-Mar-26
N,214938,1,NCE,19-Nov-26
N,214938,1,ODE-449,20-Oct-30
N,214938,1,NPP,20-Oct-26
N,214938,1,ODE-387,19-Nov-28
N,214938,3,NCE,19-Nov-26
N,214938,3,ODE-449,20-Oct-30
N,214938,3,NPP,20-Oct-26
N,214938,3,ODE-387,19-Nov-28
N,214938,2,NCE,19-Nov-26
N,214938,2,ODE-449,20-Oct-30
N,214938,2,NPP,20-Oct-26
N,214938,2,ODE-387,19-Nov-28
N,214012,1,NCE,22-Dec-26
N,214133,1,NCE*,30-Dec-26
N,214133,1,ODE-385,30-Dec-28
N,215866,2,NCE,13-May-27
N,215866,3,NCE,13-May-27
N,215866,6,NCE,13-May-27
N,215866,5,NCE,13-May-27
N,215866,1,NCE,13-May-27
N,215866,4,NCE,13-May-27
N,215866,7,NCE,13-May-27
N,215866,8,NCE,13-May-27
N,215866,9,NCE,13-May-27
N,215866,10,NCE,13-May-27
N,215866,11,NCE,13-May-27
N,215866,12,NCE,13-May-27
N,216951,1,NCE,1-Feb-28
N,216951,4,NCE,1-Feb-28
N,216951,2,NCE,1-Feb-28
N,216951,5,NCE,1-Feb-28
N,216951,3,NCE,1-Feb-28
N,212690,1,ODE-361,21-Jul-27
N,212690,1,ODE-369,12-Aug-28
N,215760,1,NP,28-Apr-25
N,215760,1,ODE-401,28-Apr-29
N,214998,3,ODE-398,28-Apr-29
N,214998,3,NCE,28-Apr-27
N,214998,3,M-297,15-Jun-26
N,214998,1,ODE-398,28-Apr-29
N,214998,1,NCE,28-Apr-27
N,214998,1,M-297,15-Jun-26
N,214998,2,ODE-398,28-Apr-29
N,214998,2,NCE,28-Apr-27
N,214998,2,M-297,15-Jun-26
N,214998,4,ODE-398,28-Apr-29
N,214998,4,NCE,28-Apr-27
N,214998,4,M-297,15-Jun-26
N,217660,1,ODE-433,26-Apr-30
N,217660,1,NP,26-Apr-26
N,217660,2,ODE-433,26-Apr-30
N,217660,2,NP,26-Apr-26
A,216935,1,CGT,9-Apr-25
N,211728,1,ODE-289,15-Apr-27
N,213411,1,ODE-309,17-Apr-27
N,213411,1,NCE,17-Apr-25
N,213411,1,I-906,19-Jan-26
N,213411,1,ODE-422,19-Jan-30
N,213411,2,ODE-309,17-Apr-27
N,213411,2,NCE,17-Apr-25
N,213411,2,I-906,19-Jan-26
N,213411,2,ODE-422,19-Jan-30
N,213189,1,NCE,14-Dec-25
N,213189,1,D-192,7-Jun-27
N,214621,1,NCE,18-Dec-25
N,213006,1,NCE,23-Dec-25
N,213006,1,I-955,18-Dec-27
N,211964,2,NCE,2-Apr-26
N,211964,2,NPP,29-Apr-25
N,211964,3,NCE,2-Apr-26
N,211964,3,NPP,29-Apr-25
N,211964,1,NCE,2-Apr-26
N,211964,1,NPP,29-Apr-25
N,215499,1,NCE,21-Jan-26
N,209471,1,NP,1-Mar-26
N,214755,1,ODE-431,1-May-30
N,214755,1,NP,1-May-26
N,214755,1,ODE-494,16-Oct-31
N,214755,3,ODE-431,1-May-30
N,214755,3,NP,1-May-26
N,214755,3,ODE-494,16-Oct-31
N,214755,2,ODE-431,1-May-30
N,214755,2,NP,1-May-26
N,214755,2,ODE-494,16-Oct-31
N,214755,4,ODE-431,1-May-30
N,214755,4,NP,1-May-26
N,214755,4,ODE-494,16-Oct-31
N,217469,1,NP,30-May-26
N,216203,1,NCE,26-May-28
N,216203,2,NCE,26-May-28
N,213433,1,NCE,26-Aug-25
N,202049,1,ODE-327,30-Oct-27
N,215352,1,NP,5-May-26
N,212018,3,I-930,19-Jan-27
N,212018,2,I-930,19-Jan-27
N,212018,1,I-930,19-Jan-27
N,212576,1,NCE,7-Jul-25
N,212576,1,ODE-316,7-Jul-27
N,214787,2,NCE,22-Oct-25
N,214787,2,NPP,25-Apr-25
N,214787,2,D-183,21-Jan-25
N,214787,2,M-301,13-Jul-26
N,214787,1,NCE,22-Oct-25
N,214787,1,NPP,25-Apr-25
N,214787,1,D-183,21-Jan-25
N,214787,1,M-301,13-Jul-26
N,215341,2,NCE,9-Jul-26
N,215341,2,M-279,1-Sep-25
N,215341,1,NCE,9-Jul-26
N,215341,1,M-279,1-Sep-25
N,214801,1,NCE,30-Sep-27
N,214801,1,ODE-410,30-Sep-29
A,217075,1,CGT,8-Mar-25
N,218718,1,NP,22-Jul-27
A,216049,1,CGT,30-Mar-25
A,216049,2,CGT,30-Mar-25
A,216050,2,CGT,24-Mar-25
A,216050,1,CGT,24-Mar-25
N,218944,1,ODE-504,15-Nov-31
N,218944,1,ODE-502,15-Nov-31
N,218944,1,NCE,15-Nov-29
N,218944,1,ODE-505,15-Nov-31
N,218944,2,ODE-504,15-Nov-31
N,218944,2,ODE-502,15-Nov-31
N,218944,2,NCE,15-Nov-29
N,218944,2,ODE-505,15-Nov-31
N,218944,3,ODE-504,15-Nov-31
N,218944,3,ODE-502,15-Nov-31
N,218944,3,NCE,15-Nov-29
N,218944,3,ODE-505,15-Nov-31
N,215092,1,NCE,22-Sep-27
N,212937,1,NP,20-Sep-25
N,212937,1,ODE-384,20-Sep-29
N,215814,1,NCE,1-Dec-27
N,215814,1,ODE-413,1-Dec-29
N,216873,1,ODE-441,15-Sep-30
N,216873,1,NCE,15-Sep-28
N,216873,2,ODE-441,15-Sep-30
N,216873,2,NCE,15-Sep-28
N,216873,3,ODE-441,15-Sep-30
N,216873,3,NCE,15-Sep-28
N,212489,1,NCE,24-Apr-25
N,212489,2,NCE,24-Apr-25
N,216264,1,NCE,8-Jul-27
N,213973,1,NCE,15-May-25
N,213973,1,ODE-298,15-May-27
N,215383,1,NCE,13-Aug-26
N,215383,1,I-931,14-Dec-26
N,215383,1,ODE-364,13-Aug-28
N,215904,1,NCE,1-Jun-27
N,215904,1,ODE-395,1-Jun-29
N,216227,1,NP,27-Sep-25
N,216660,1,NCE,29-Sep-27
N,216660,1,ODE-411,29-Sep-29
N,216718,1,ODE-427,28-Feb-30
N,216718,1,NCE,28-Feb-28
N,213972,1,NCE,25-Oct-29
A,218871,1,CGT,13-Jul-25
N,209445,1,NCE,14-Nov-24
N,213217,1,ODE-276,14-Nov-26
N,213217,1,I-936,7-Mar-27
N,213217,1,I-817,19-Jan-26
N,213217,1,ODE-274,19-Jan-30
N,213217,1,ODE-467,7-Mar-31
N,213217,1,ODE-371,31-Aug-28
N,213217,1,ODE-370,14-Sep-28
N,213736,1,NCE,17-Apr-25
N,213736,1,ODE-292,17-Apr-27
N,213736,1,ODE-404,26-Aug-29
N,213736,1,I-899,26-Aug-25
N,213736,2,NCE,17-Apr-25
N,213736,2,ODE-292,17-Apr-27
N,213736,2,ODE-404,26-Aug-29
N,213736,2,I-899,26-Aug-25
N,213736,3,NCE,17-Apr-25
N,213736,3,ODE-292,17-Apr-27
N,213736,3,ODE-404,26-Aug-29
N,213736,3,I-899,26-Aug-25
N,215596,1,NCE,23-Nov-26
N,215596,1,ODE-388,23-Nov-28
N,213312,1,ODE-386,22-Nov-28
N,214375,1,NCE,23-Dec-27
N,212819,1,NCE,16-Jul-24
N,213756,2,NCE,10-Apr-25
N,213756,2,ODE-288,10-Apr-27
N,213756,1,NCE,10-Apr-25
N,213756,1,ODE-288,10-Apr-27
N,215498,2,NCE,20-Jul-26
N,215498,2,ODE-436,13-Jun-30
N,215498,2,I-918,13-Jun-26
N,215498,2,ODE-363,20-Jul-28
N,215498,1,NCE,20-Jul-26
N,215498,1,ODE-436,13-Jun-30
N,215498,1,I-918,13-Jun-26
N,215498,1,ODE-363,20-Jul-28
N,215498,3,NCE,20-Jul-26
N,215498,3,ODE-436,13-Jun-30
N,215498,3,I-918,13-Jun-26
N,215498,3,ODE-363,20-Jul-28
N,215498,4,NCE,20-Jul-26
N,215498,4,ODE-436,13-Jun-30
N,215498,4,I-918,13-Jun-26
N,215498,4,ODE-363,20-Jul-28
N,208711,1,ODE-228,13-Feb-26
A,203180,2,PC,2-Mar-25
A,203180,1,PC,2-Mar-25
N,215910,1,ODE-414,17-Nov-29
N,217424,1,NCE,5-Jan-29
N,217900,1,NCE,25-Jul-29
N,210828,1,ODE-383,21-Aug-26
N,210828,1,W,21-Aug-26
N,213378,1,NCE,28-May-26
N,213378,3,NCE,28-May-26
N,213378,2,NCE,28-May-26
N,213378,4,NCE,28-May-26
N,214622,2,NCE,28-May-26
N,214622,2,ODE-353,28-May-28
N,214622,1,NCE,28-May-26
N,214622,1,ODE-353,28-May-28
N,214487,1,ODE-377,7-Oct-28
N,214487,1,NCE,7-Oct-26
N,215833,1,NCE,23-Mar-27
N,215401,2,NP,22-Mar-25
N,215401,3,NP,22-Mar-25
N,215401,1,NP,22-Mar-25
N,215401,4,NP,22-Mar-25
N,209884,1,M-274,1-Mar-25
N,209884,2,M-274,1-Mar-25
N,209884,3,M-274,1-Mar-25
N,212887,1,NCE,21-Jan-26
N,212887,1,NPP,29-Mar-25
N,212887,1,M-273,31-Jan-25
N,212888,1,NCE,21-Jan-26
N,212888,1,NPP,29-Mar-25
N,212888,1,D-184,31-Jan-25
N,212888,2,NCE,21-Jan-26
N,212888,2,NPP,29-Mar-25
N,212888,2,D-184,31-Jan-25
N,214377,3,NCE,19-Jan-26
N,214377,2,NCE,19-Jan-26
N,214377,1,NCE,19-Jan-26
N,214154,1,NCE,15-Apr-26
N,217171,1,NP,22-Feb-26
N,217171,1,NCE,14-May-26
N,215887,1,ODE-432,25-Apr-30
N,215887,1,NCE,25-Apr-28
N,215830,1,NCE,23-Jun-28
N,217603,1,NCE,24-Jul-28
N,215487,1,NP,19-Apr-27
N,214511,1,NCE,17-Apr-29
N,217159,1,NCE,8-Sep-28
N,217159,1,ODE-442,8-Sep-30
N,217388,1,ODE-461,21-Dec-30
N,217388,1,NCE,21-Dec-28
A,214445,1,PC,14-Jul-25
N,214231,1,NCE,22-Mar-26
N,214231,2,NCE,22-Mar-26
N,215888,1,NCE,26-Apr-27
N,216993,1,ODE-437,20-Jul-30
N,216993,1,NCE,20-Jul-28
N,216993,2,ODE-437,20-Jul-30
N,216993,2,NCE,20-Jul-28
N,218158,1,NP,4-Mar-27
N,217439,1,I-920,20-Jun-26
N,217439,2,I-920,20-Jun-26
N,217439,4,I-920,20-Jun-26
N,214783,1,NCE,16-Jul-26
N,214783,1,ODE-362,16-Jul-28
N,214429,1,NCE,16-Jul-26
N,214429,1,ODE-359,16-Jul-28
N,216196,3,ODE-392,17-Feb-29
N,216196,3,NCE,17-Feb-27
N,216196,2,ODE-392,17-Feb-29
N,216196,2,NCE,17-Feb-27
N,216196,1,ODE-392,17-Feb-29
N,216196,1,NCE,17-Feb-27
N,213716,1,NCE,22-Jan-26
N,214096,1,NCE,3-Feb-26
N,214096,1,ODE-325,3-Feb-28
N,214965,1,ODE-358,23-Jun-28
N,215390,1,NP,5-Apr-25
N,215390,2,NP,5-Apr-25
N,215039,3,ODE-396,5-Apr-29
N,215039,1,ODE-396,5-Apr-29
N,215039,2,ODE-396,5-Apr-29
N,215211,1,NP,28-Sep-26
N,217729,2,ODE-444,26-Sep-30
N,217729,2,NP,26-Sep-26
N,217729,1,ODE-444,26-Sep-30
N,217729,1,NP,26-Sep-26
N,215842,1,ODE-443,29-Sep-30
N,215842,1,NCE,29-Sep-28
N,215842,2,ODE-443,29-Sep-30
N,215842,2,NCE,29-Sep-28
N,215842,3,ODE-443,29-Sep-30
N,215842,3,NCE,29-Sep-28
N,216340,1,NCE,12-Dec-27
N,216340,1,ODE-352,12-Dec-29
N,216956,1,NCE,12-Oct-28
N,216834,1,NCE,17-Oct-28
N,216834,1,ODE-446,17-Oct-30
N,216834,3,NCE,17-Oct-28
N,216834,3,ODE-446,17-Oct-30
N,216834,2,NCE,17-Oct-28
N,216834,2,ODE-446,17-Oct-30
N,219249,2,NCE,10-Oct-29
N,219249,1,NCE,10-Oct-29
N,214200,1,NCE,12-Feb-26
N,213931,3,NP,17-Oct-26
N,213931,1,NP,17-Oct-26
N,213931,2,NP,17-Oct-26
N,215320,1,NP,17-Oct-26
N,21164,1,NCE,22-Sep-28
N,21164,3,NCE,22-Sep-28
N,21164,2,NCE,22-Sep-28
N,21164,4,NCE,22-Sep-28
N,217064,1,NP,25-Sep-26
N,22335,1,NP,29-Sep-26
N,209569,1,ODE-282,20-Dec-26
N,212028,1,NCE,7-Apr-25
N,212028,1,M-293,20-Apr-26
N,212028,2,NCE,7-Apr-25
N,212028,2,M-293,20-Apr-26
N,213702,1,NCE,15-Jun-25
N,213702,1,ODE-304,15-Jun-27
N,214120,1,ODE-320,1-Sep-27
N,214120,2,ODE-320,1-Sep-27
N,213227,1,NCE,3-Sep-25
N,213227,1,ODE-317,3-Sep-27
N,213793,1,ODE-336,25-Nov-27
N,213793,1,NCE,25-Nov-25
N,213793,1,ODE-402,16-Jun-29
N,213793,1,NPP,20-Dec-27
N,213793,1,I-892,16-Jun-25
N,214103,1,ODE-339,23-Nov-27
N,214103,1,NCE,23-Nov-25
N,214103,1,ODE-415,6-Oct-29
N,214103,1,I-901,6-Oct-25
N,217836,1,NP,17-Oct-26
N,218550,1,ODE-448,20-Oct-30
N,218550,1,NP,20-Oct-26
N,216632,1,NP,20-Oct-26
N,214916,1,NCE,23-Aug-26
N,210136,1,NP,23-May-26
N,210136,2,NP,23-May-26
N,210136,3,NP,23-May-26
N,210136,5,NP,23-May-26
N,210136,4,NP,23-May-26
N,210136,6,NP,23-May-26
N,210136,7,NP,23-May-26
N,214324,3,NP,23-May-25
N,214324,1,NP,23-May-25
N,214324,2,NP,23-May-25
N,214324,4,NP,23-May-25
N,217470,1,NP,22-May-26
N,212905,1,NCE,21-Jul-28
N,218171,2,NCE,18-Dec-29
N,218171,1,NCE,18-Dec-29
N,211843,1,ODE*,28-Jun-26
N,211843,2,ODE*,28-Jun-26
A,217887,1,CGT,11-Jun-25
N,216974,1,NCE,23-May-28
N,217188,1,NCE,25-May-28
N,216023,1,NCE,25-May-28
N,216793,1,NP,11-Aug-26
N,216793,2,NP,11-Aug-26
N,211635,3,ODE-279,10-Jan-27
N,211635,2,ODE-279,10-Jan-27
N,211635,1,ODE-279,10-Jan-27
N,212123,2,NCE,28-May-25
N,212123,1,NCE,28-May-25
N,212801,3,NCE,6-Mar-25
N,212801,3,ODE-286,6-Mar-27
N,212801,1,NCE,6-Mar-25
N,212801,1,ODE-286,6-Mar-27
N,212801,2,NCE,6-Mar-25
N,212801,2,ODE-286,6-Mar-27
N,215256,4,D-190,21-Jul-26
N,215256,4,I-935,8-Mar-27
N,215256,4,NPP,23-Dec-25
N,215256,2,I-935,8-Mar-27
N,215256,2,NPP,23-Dec-25
N,215256,5,I-935,8-Mar-27
N,215256,5,NPP,23-Dec-25
N,215256,1,I-935,8-Mar-27
N,215256,1,NPP,23-Dec-25
N,215256,3,I-935,8-Mar-27
N,215256,3,NPP,23-Dec-25
N,214460,1,ODE-354,4-Jun-28
N,214461,1,ODE-354,4-Jun-28
N,215310,1,NCE,15-Sep-26
N,215310,1,ODE-374,15-Sep-28
N,216386,1,NCE,9-Mar-28
N,217779,2,ODE-482,6-Jun-31
N,217779,1,ODE-482,6-Jun-31
N,218860,1,ODE-486,10-Jun-31
N,218860,1,NCE,10-Jun-29
N,211150,1,ODE-255,14-Aug-26
N,211150,1,ODE-331,13-Oct-27
N,211150,1,NPP,21-Jun-27
N,211150,1,ODE-489,21-Jun-31
N,211150,2,ODE-255,14-Aug-26
N,211150,2,ODE-331,13-Oct-27
N,211150,2,NPP,21-Jun-27
N,211150,2,ODE-489,21-Jun-31
N,212725,2,ODE-265,15-Aug-26
N,212725,2,ODE-313,15-Aug-26
N,212725,2,NPP,20-Oct-26
N,212725,2,ODE-448,20-Oct-30
N,212725,1,ODE-265,15-Aug-26
N,212725,1,ODE-313,15-Aug-26
N,212725,1,NPP,20-Oct-26
N,212725,1,ODE-448,20-Oct-30
N,212327,1,ODE-259,16-Aug-26
N,211675,3,I-919,18-May-26
N,211675,3,ODE-481,26-Apr-31
N,211675,3,I-886,16-Mar-25
N,211675,3,NPP,26-Apr-27
N,211675,3,I-946,26-Apr-27
N,211675,1,I-888,29-Apr-25
N,211675,1,I-919,18-May-26
N,211675,1,ODE-481,26-Apr-31
N,211675,1,I-883,14-Jan-25
N,211675,1,I-886,16-Mar-25
N,211675,1,NPP,26-Apr-27
N,211675,1,I-946,26-Apr-27
N,211675,2,I-919,18-May-26
N,211675,2,ODE-481,26-Apr-31
N,211675,2,I-883,14-Jan-25
N,211675,2,I-886,16-Mar-25
N,211675,2,NPP,26-Apr-27
N,211675,2,I-946,26-Apr-27
N,213464,2,NCE,6-Aug-25
N,213464,2,ODE-319,6-Aug-27
N,213464,1,NCE,6-Aug-25
N,213464,1,ODE-319,6-Aug-27
N,217003,1,ODE-405,24-Aug-29
N,217003,1,NP,24-Aug-25
N,208969,1,NP,7-Mar-26
N,209899,1,NCE,25-Mar-25
N,209899,1,M-309,30-Aug-27
N,209899,3,NCE,25-Mar-25
N,209899,3,M-309,30-Aug-27
N,209899,2,NCE,25-Mar-25
N,209899,2,M-309,30-Aug-27
N,211988,3,I-933,23-Jan-27
N,211988,2,I-933,23-Jan-27
N,211988,4,I-933,23-Jan-27
N,211988,1,I-933,23-Jan-27
N,214662,1,NCE,29-Sep-26
N,214662,1,ODE-429,13-Mar-30
N,214662,1,I-938,13-Mar-27
N,214662,1,ODE-379,29-Sep-28
N,214662,1,NPP,13-Mar-26
N,214662,1,ODE-471,13-Mar-31
N,214662,2,ODE-490,24-Jul-31
N,214662,2,ODE*,13-Mar-30
N,214662,2,ODE*,29-Sep-28
N,214662,2,NCE,29-Sep-26
N,214662,2,ODE*,13-Mar-31
N,216285,1,NP,29-Jun-25
N,213953,2,NP,27-Jul-25
N,213953,3,NP,27-Jul-25
N,213953,1,NP,27-Jul-25
N,215168,1,NCE,27-Sep-29
A,218817,1,CGT,9-Apr-25
A,218817,2,CGT,9-Apr-25
N,211379,1,ODE-271,3-Oct-26
N,212994,3,NCE,7-May-26
N,212994,1,NCE,7-May-26
N,212994,2,NCE,7-May-26
N,214793,1,NCE,26-May-26
N,214846,1,NCE,18-Dec-25
N,214846,1,M-289,27-Jan-26
N,214846,1,I-898,5-Aug-25
N,212304,1,NP,11-Mar-25
N,212304,2,NP,11-Mar-25
N,215974,1,NCE,22-Dec-27
N,215973,1,NCE,22-Dec-27
N,216578,1,NCE,12-May-28
N,215935,1,ODE-389,15-Dec-28
N,215935,1,ODE-464,20-Dec-30
N,216403,1,ODE-493,5-Sep-31
N,216403,1,ODE-389,17-Feb-30
N,216403,1,NCE,17-Feb-28
N,216403,2,ODE-493,5-Sep-31
N,216403,2,ODE-389,17-Feb-30
N,216403,2,NCE,17-Feb-28
A,216899,1,PC,12-Apr-25
N,218590,1,NP,7-Aug-27
N,212862,1,NCE,14-Aug-24
N,212862,1,ODE-253,14-Aug-26
N,211810,1,ODE-250,2-Aug-26
N,211810,2,ODE*,2-Aug-26
N,212269,1,ODE-421,30-Apr-28
N,212269,1,ODE-417,30-Apr-28
N,212269,1,ODE-420,30-Apr-28
N,212155,1,NCE,20-May-25
N,214094,2,ODE-333,3-Dec-27
N,214094,2,NCE,3-Dec-25
N,214094,1,ODE-333,3-Dec-27
N,214094,1,NCE,3-Dec-25
N,212642,1,W,1-Dec-25
N,212642,1,NCE,1-Dec-25
N,212643,1,W,1-Dec-25
N,212643,1,NCE,1-Dec-25
N,208088,1,NP,28-Mar-25
N,215413,1,NPP,15-Jun-26
N,213026,1,ODE-347,25-Feb-28
N,213026,1,NCE,25-Feb-26
N,214665,1,NCE,28-May-26
N,214665,1,ODE-352,28-May-28
N,214665,2,NCE,28-May-26
N,214665,2,ODE-352,28-May-28
N,214665,3,NCE,28-May-26
N,214665,3,ODE*,28-May-28
N,215358,1,NCE,29-Oct-26
N,215358,1,I-953,29-Oct-27
N,215358,1,I-954,29-Oct-27
N,215358,1,ODE-499,29-Oct-31
N,215358,1,ODE-500,29-Oct-31
N,215358,1,ODE-382,29-Oct-28
N,215358,1,ODE-381,29-Oct-28
N,215358,2,NCE,29-Oct-26
N,215358,2,I-953,29-Oct-27
N,215358,2,I-954,29-Oct-27
N,215358,2,ODE-499,29-Oct-31
N,215358,2,ODE-500,29-Oct-31
N,215358,2,ODE-381,29-Oct-28
N,215358,2,ODE-382,29-Oct-28
N,215358,3,NCE,29-Oct-26
N,215358,3,ODE*,29-Oct-28
N,215650,1,NP,7-Dec-24
N,216157,1,ODE-394,17-Dec-28
N,217513,1,ODE-428,16-Mar-30
N,217513,1,NP,16-Mar-26
N,217514,1,ODE-428,16-Mar-30
N,217514,1,NP,16-Mar-26
N,206966,1,NCE,24-Jul-25
N,213721,1,NCE,4-Sep-25
N,213721,1,ODE-341,1-Dec-27
N,213721,1,ODE-340,1-Dec-27
N,213721,1,ODE-318,4-Sep-27
